  0.9667000     -0.8159000
  1.8691962E-05  0.3335121      2.7370714E-14
  1.8886649E-05  0.3368696      2.8519135E-14
  1.9083358E-05  0.3402607      2.9715708E-14
  1.9282121E-05  0.3436859      3.0962500E-14
  1.9482955E-05  0.3471457      3.2261625E-14
  1.9685882E-05  0.3506404      3.3615255E-14
  1.9890918E-05  0.3541703      3.5025680E-14
  2.0098094E-05  0.3577357      3.6495292E-14
  2.0307421E-05  0.3613369      3.8026514E-14
  2.0518935E-05  0.3649743      3.9622016E-14
  2.0732650E-05  0.3686484      4.1284474E-14
  2.0948593E-05  0.3723596      4.3016690E-14
  2.1166783E-05  0.3761080      4.4821562E-14
  2.1387246E-05  0.3798943      4.6702185E-14
  2.1610007E-05  0.3837185      4.8661704E-14
  2.1835081E-05  0.3875812      5.0703396E-14
  2.2062504E-05  0.3914829      5.2830797E-14
  2.2292297E-05  0.3954237      5.5047441E-14
  2.2524486E-05  0.3994046      5.7357155E-14
  2.2759088E-05  0.4034251      5.9763690E-14
  2.2996137E-05  0.4074863      6.2271253E-14
  2.3235651E-05  0.4115885      6.4884004E-14
  2.3477662E-05  0.4157317      6.7606368E-14
  2.3722194E-05  0.4199167      7.0442960E-14
  2.3969273E-05  0.4241438      7.3398576E-14
  2.4218925E-05  0.4284137      7.6478225E-14
  2.4471179E-05  0.4327265      7.9687098E-14
  2.4726052E-05  0.4370825      8.3030479E-14
  2.4983588E-05  0.4414826      8.6514305E-14
  2.5243808E-05  0.4459266      9.0144207E-14
  2.5506735E-05  0.4504158      9.3926494E-14
  2.5772400E-05  0.4549500      9.7867427E-14
  2.6040834E-05  0.4595297      1.0197371E-13
  2.6312058E-05  0.4641558      1.0625223E-13
  2.6586113E-05  0.4688282      1.1071032E-13
  2.6863021E-05  0.4735476      1.1535544E-13
  2.7142813E-05  0.4783147      1.2019549E-13
  2.7425520E-05  0.4831297      1.2523859E-13
  2.7711170E-05  0.4879932      1.3049330E-13
  2.7999800E-05  0.4929056      1.3596855E-13
  2.8291426E-05  0.4978674      1.4167336E-13
  2.8586095E-05  0.5028792      1.4761758E-13
  2.8883836E-05  0.5079418      1.5381138E-13
  2.9184675E-05  0.5130548      1.6026484E-13
  2.9488649E-05  0.5182199      1.6698925E-13
  2.9795790E-05  0.5234363      1.7399568E-13
  3.0106123E-05  0.5287056      1.8129602E-13
  3.0419693E-05  0.5340277      1.8890266E-13
  3.0736530E-05  0.5394035      1.9682860E-13
  3.1056665E-05  0.5448336      2.0508707E-13
  3.1380139E-05  0.5503182      2.1369205E-13
  3.1706983E-05  0.5558581      2.2265818E-13
  3.2037220E-05  0.5614533      2.3199999E-13
  3.2370903E-05  0.5671053      2.4173420E-13
  3.2708063E-05  0.5728142      2.5187681E-13
  3.3048738E-05  0.5785806      2.6244496E-13
  3.3392957E-05  0.5844045      2.7345633E-13
  3.3740762E-05  0.5902875      2.8493004E-13
  3.4092183E-05  0.5962296      2.9688464E-13
  3.4447272E-05  0.6022316      3.0934128E-13
  3.4806057E-05  0.6082937      3.2232027E-13
  3.5168581E-05  0.6144174      3.3584425E-13
  3.5534882E-05  0.6206023      3.4993541E-13
  3.5904995E-05  0.6268495      3.6461773E-13
  3.6278969E-05  0.6331599      3.7991639E-13
  3.6656824E-05  0.6395333      3.9585623E-13
  3.7038622E-05  0.6459708      4.1246520E-13
  3.7424401E-05  0.6524735      4.2977129E-13
  3.7814196E-05  0.6590417      4.4780344E-13
  3.8208051E-05  0.6656757      4.6659199E-13
  3.8606009E-05  0.6723769      4.8616921E-13
  3.9008100E-05  0.6791452      5.0656701E-13
  3.9414390E-05  0.6859816      5.2782117E-13
  3.9824914E-05  0.6928866      5.4996686E-13
  4.0239713E-05  0.6998615      5.7304216E-13
  4.0658830E-05  0.7069067      5.9708564E-13
  4.1082312E-05  0.7140228      6.2213787E-13
  4.1510200E-05  0.7212100      6.4824047E-13
  4.1942549E-05  0.7284701      6.7543882E-13
  4.2379404E-05  0.7358029      7.0377834E-13
